Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[7221],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / NORTHERN THOLEIITIC METABASALTS,FLANKS OF NORTHERN BRANCH OF OLONDO GREENSTONE BELT,57.03,57.03,120.72,120.72,SUBAERIAL,,,s 86230/2 [7221],"BASALT, THOLEIITIC [7221]",,,,ARCHEAN [7221],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7221] ,222966.495,12526.206,,62451.618,,,,153905.4,75043.5,37931.216,1703.8076,,2739.495,7863.6842,960.1262,,,,,,,,,,,,,,,,24200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351,68,,,17,64,,,,,,,,4,35,13,46,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188924
[7221],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / NORTHERN THOLEIITIC METABASALTS,FLANKS OF NORTHERN BRANCH OF OLONDO GREENSTONE BELT,57.03,57.03,120.72,120.72,SUBAERIAL,,,s 86231 [7221],"BASALT, THOLEIITIC [7221]",,,,ARCHEAN [7221],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7221] ,225303.67,11087.79,,71978.136,,,,130586.4,80761.1,34071.76,1548.916,,2988.54,13501.7974,1047.4104,,,,,,,,,,,,,,,,23300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876,31,,,69,38,,,,,,,,6,152,14,51,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188925
[7221],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / NORTHERN THOLEIITIC METABASALTS,FLANKS OF NORTHERN BRANCH OF OLONDO GREENSTONE BELT,57.03,57.03,120.72,120.72,SUBAERIAL,,,s 86232/1 [7221],"BASALT, THOLEIITIC [7221]",,,,ARCHEAN [7221],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7221] ,221096.755,12466.272,,71978.136,,,,142245.9,71470,35036.624,1548.916,,2739.495,15653.1827,829.1999,,,,,,,,,,,,,,,,21700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636,37,,,73,39,,,,,,,,3,131,13,48,3,,,,,,,,,,,,,,2.13,5.76,,4.419,1.431,0.728,1.93,,2.15,,1.29,,1.19,,,,,,,,,,,,,,,,0.512745,,,,,19.426,,15.871,,36.586,,,,,,,,,,,,,,,188927
[7221],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / NORTHERN THOLEIITIC METABASALTS,FLANKS OF NORTHERN BRANCH OF OLONDO GREENSTONE BELT,57.03,57.03,120.72,120.72,SUBAERIAL,,,s 86232 [7221],"BASALT, THOLEIITIC [7221]",,,,ARCHEAN [7221],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7221] ,217824.71,12706.008,,61922.367,,,,157791.9,70755.3,39318.208,1703.8076,,2490.45,15949.9255,872.842,,,,,,,,,,,,,,,,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380,72,,,78,70,,,,,,,,3,137,12,46,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188928
[7221],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / NORTHERN THOLEIITIC METABASALTS,FLANKS OF NORTHERN BRANCH OF OLONDO GREENSTONE BELT,57.03,57.03,120.72,120.72,SUBAERIAL,,,s 86232/1 [7221],"BASALT, THOLEIITIC [7221]",,,,ARCHEAN [7221],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7221] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.701,,15.913,,37.9,,,,,,,,,,,,,,,189107
[7221],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / WESTERN THOLEIITIC METABASALTS AND GABBROIDS,FLANKS OF WESTERN BRANCHE OF OLONDO GREENSTONE BELT,57.03,57.03,120.72,120.72,SUBAERIAL,,,s 8715/1_LEACHATE [7221],"BASALT, THOLEIITIC [7221]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7221] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.166,,14.943,,36.102,,,,,,,,,,,,,,,189115
[7221],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / EASTERN THOLEIITIC METABASALTS,FLANKS OF EASTERN BRANCH OF OLONDO GREENSTONE BELT,57.03,57.03,120.72,120.72,SUBAERIAL,,,s 89109/1_LEACHATE [7221],"BASALT, THOLEIITIC [7221]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7221] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.846,,15.323,,42.315,,,,,,,,,,,,,,,189116
[7221],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / NORTHERN THOLEIITIC METABASALTS,FLANKS OF NORTHERN BRANCH OF OLONDO GREENSTONE BELT,57.03,57.03,120.72,120.72,SUBAERIAL,,,s 86232/1_LEACHATE [7221],"BASALT, THOLEIITIC [7221]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7221] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.168,,16.941,,65.094,,,,,,,,,,,,,,,189117
[118][42][11841][15719],OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / KOHALA / SHIELD STAGE / POLOLU SERIES / PACIFIC OCEAN,WAIPIO VALLEY,20.1136,20.1136,-155.5929,-155.5929,SUBAERIAL,27,27,s W4 [118] / s W-4 [11841],"BASALT, THOLEIITIC [118] / THOLEIITE, TRANSITIONAL [42] / BASALT [11841] / NOT GIVEN [15719]",,,,,,,,MICROCRYSTALLINE [118] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [118] ,234091.448,13664.952,,73618.8141,,,,81694.23,78688.47,52464.48,1316.5786,,913.165,16246.6683,1047.4104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,,31,,286,,,,,146,110,,,,,,,0.96,290,,,,,0.000035,,,,,,,,,,0.015,65,,23.3,,16.6,4.74,1.76,5.49,,4.87,,2.47,,2.01,,,,,0.000315,0.000117,0.000079,0.00263,,,,,,,,0.512956,,,0.7036,,18.217916,,15.462886,,37.889034,,,,,0.1301,,,,,,,,,,18-W4
[5515],CONVERGENT MARGIN,TONGA ARC / FIJI ISLANDS / VANUA LEVU / MONKEY FACE / PACIFIC OCEAN,ROADCUT 3.7 KM SE OF KOROINASOLO VILLAGE 152.4M,-16.766,-16.766,-178.55,-178.55,SUBAERIAL,,,s 818 [5515],"BASALT, THOLEIITIC [5515]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5515] ,233904.474,4435.116,,82192.6803,,,,81461.04,87550.75,40584.592,1471.4702,,4897.885,15727.3684,654.6315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,307,151,,,47,46,,,,,,,,16,402,19,39,,,,,,,,,,,,,,271,3.5,9.8,,5.6,1.7,0.62,,0.36,,,,,1.2,,0.8,,,,,,,,,,2,,0.46,0.22,,,,,,,,,,,,,,,,,,,,,,,,,190293
[5515],CONVERGENT MARGIN,TONGA ARC / TONGA ISLANDS / LOMAIVITI / NAIRAI / PACIFIC OCEAN,"NORTHWESTERN COAST, NAIRAI ISLAND",-17.786,-17.786,-179.39,-179.39,SUBAERIAL,,,s 842 [5515],"BASALT, THOLEIITIC [5515]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5515] ,218198.658,6712.608,,85421.1114,,,,86280.3,93482.76,45529.52,1626.3618,,4565.825,15727.3684,960.1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,269,340,,,52,110,,,,,,,,10,362,25,53,,,,,,,,,,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.41,0.21,,,,,,,,,,,,,,,,,,,,,,,,,190294
[5515],CONVERGENT MARGIN,TONGA ARC / FIJI ISLANDS / LAU ISLANDS / PACIFIC OCEAN,,-17.5,-18,-177,-178.5,SUBAERIAL,,,s 11 [5515],"BASALT, THOLEIITIC [5515]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5515] ,236054.675,4015.578,,82033.905,,,,61562.16,89337.5,50052.32,1161.687,,4150.75,13353.426,872.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,285,379,,,,129,,,,,,,,9,318,22,46,,,,,,,,,,,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,190295
[5515],CONVERGENT MARGIN,TONGA ARC / FIJI ISLANDS / TAVEUNI / TAVEUNI / PACIFIC OCEAN,"COASTAL OUTCROP NW QAMEA ISLAND, AT MATAILAWA, NAQARA VILLAGE",-16.75,-16.75,-179.783,-179.783,SUBAERIAL,,,s 3 [5515],"BASALT, THOLEIITIC [5515]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5515] ,238391.85,5513.928,,86373.7632,,,,68013.75,76472.9,39559.424,1548.916,,3735.675,21142.9245,785.5578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190298
[4242],CONVERGENT MARGIN,TONGA ARC / FIJI ISLANDS / LAU ISLANDS / PACIFIC OCEAN,,-17.5,-18,-177,-178.5,SUBAERIAL,,,s 45 [4242],"BASALT, THOLEIITIC [4242]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4242] ,236989.545,4974.522,,99499.188,,,,67858.29,80046.4,34976.32,1161.687,,7305.32,16320.854,960.1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,293,148,,,33,59,,,,,,,,16,441,21,42,0,,,,,,,,,,,,,211,4.7,13,,7,,,,,,,,,,,,,,,,,,,,,2,,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,190299
[5515],CONVERGENT MARGIN,TONGA ARC / FIJI ISLANDS / VANUA LEVU / NATEWA / PACIFIC OCEAN,"PWD QUARRY, 457.2M",-16.75,-16.75,-179.8,-179.8,SUBAERIAL,,,s WQ3A [5515],"BASALT, THOLEIITIC [5515]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5515] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70351,,,,,,,,,,,,,,,,,,,,,190352
[6886],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),KAAPVAAL CRATON_ARCHEAN / KALKKLOOF SCHIST BELT / ONVERWACHT GROUP / TJAKASTAD SUBGROUP,GUGWANE VALLEY,-25.95,-25.95,30.57,30.57,SUBAERIAL,,,s RM46 [6886],"BASALT, THOLEIITIC [6886]",,,,ARCHEAN [6886],,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [6886] ,235633.9835,7671.552,,73089.5631,,31263.18,67236.45,,58676.87,40825.808,,,6724.215,14392.0258,,,,,,,,,,,,,,,,,17200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191034
[4329],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN,"GIANT CRATER, GROUP 4",41.3838,41.3838,-121.6608,-121.6608,SUBAERIAL,1701,1743,s 80-1J [4329],"BASALT, THOLEIITIC [4329]",,10500 [4329],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4329] ,229510.585,5453.994,,91560.423,,,,71667.06,82547.85,52705.696,1316.5786,,2573.465,19436.6534,480.0631,,,,,,,,,,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191764
[4329],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN,"GIANT CRATER, GROUP 4",41.3833,41.3833,-121.6605,-121.6605,SUBAERIAL,1701,1743,s 80-2B [4329],"BASALT, THOLEIITIC [4329]",,10500 [4329],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4329] ,226238.54,5693.73,,92618.925,,,,71433.87,85835.47,53489.648,1239.1328,,1494.27,19139.9106,480.0631,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191765
[4329],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN,"GIANT CRATER, GROUP 4",41.4148,41.4148,-121.6747,-121.6747,SUBAERIAL,1701,1743,s 80-31C [4329],"BASALT, THOLEIITIC [4329]",,10500 [4329],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4329] ,228108.28,5753.664,,94206.678,,,,71900.25,81404.33,52162.96,1239.1328,,1992.36,19436.6534,567.3473,,,,,,,,,,,,,,,,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191766
[4329],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN,"GIANT CRATER, GROUP 4",41.4145,41.4145,-121.673,-121.673,SUBAERIAL,1701,1743,s 80-32 [4329],"BASALT, THOLEIITIC [4329]",,10500 [4329],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4329] ,229043.15,5633.796,,94206.678,,,,70889.76,81046.98,52102.656,1239.1328,,2490.45,19659.2105,567.3473,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191767
[4329],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN,"GIANT CRATER, GROUP 4",41.4393,41.4393,-121.68,-121.68,SUBAERIAL,1701,1743,s 80-33E [4329],"BASALT, THOLEIITIC [4329]",,10500 [4329],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4329] ,230445.455,5633.796,,92089.674,,,,70967.49,81118.45,51499.616,1239.1328,,2988.54,20252.6961,523.7052,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191768
[4329],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN,"GIANT CRATER, GROUP 4",41.3433,41.3433,-121.62,-121.62,SUBAERIAL,1701,1743,s 80-34B [4329],"BASALT, THOLEIITIC [4329]",,10500 [4329],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4329] ,230445.455,5633.796,,92618.925,,,,70734.3,80832.57,51740.832,1239.1328,,2822.51,19733.3962,523.7052,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191769
[4329],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN,"GIANT CRATER, GROUP 4",41.3032,41.3032,-121.6032,-121.6032,SUBAERIAL,1701,1743,s 80-35 [4329],"BASALT, THOLEIITIC [4329]",,10500 [4329],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4329] ,228108.28,5693.73,,94206.678,,,,71977.98,79974.93,53188.128,1316.5786,,2324.42,18620.6107,698.2736,,,,,,,,,,,,,,,,5900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191770
[4329],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN,"GIANT CRATER, GROUP 4",41.5053,41.5053,-121.6498,-121.6498,SUBAERIAL,1701,1743,s 88-11 [4329],"BASALT, THOLEIITIC [4329]",,10500 [4329],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4329] ,230445.455,5693.73,,92618.925,,,,71822.52,79903.46,52404.176,1239.1328,,2407.435,18694.7964,523.7052,,,,,,,,,,,,,,,,3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,146,,,,,,,,9,205,26,95,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191783
[4329],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN,"GIANT CRATER, GROUP 4",41.3922,41.3922,-121.6662,-121.6662,SUBAERIAL,1701,1743,s 1018M [4329],"BASALT, THOLEIITIC [4329]",,10500 [4329],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4329] ,230445.455,5573.862,,93148.176,,,,70112.46,80904.04,51318.704,1239.1328,,2822.51,19733.3962,480.0631,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,5,201,24,91,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191785
[4329],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN,"GIANT CRATER, GROUP 4",41.506,41.506,-121.6407,-121.6407,SUBAERIAL,1701,1743,s 1251M [4329],"BASALT, THOLEIITIC [4329]",,10500 [4329],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4329] ,229043.15,5693.73,,94206.678,,,,71045.22,81189.92,51861.44,1239.1328,,2407.435,19139.9106,567.3473,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,4,199,23,94,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191786
[4329],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN,"GIANT CRATER, GROUP 4",41.502,41.502,-121.6492,-121.6492,SUBAERIAL,1701,1743,s 1252M [4329],"BASALT, THOLEIITIC [4329]",,10500 [4329],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4329] ,229043.15,5513.928,,94735.929,,,,69723.81,81690.21,51137.792,1239.1328,,2407.435,19733.3962,567.3473,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,4,197,23,88,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191787
[4329],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN,"GIANT CRATER, GROUP 4",41.4933,41.4933,-121.644,-121.644,SUBAERIAL,1701,1743,s 1253M [4329],"BASALT, THOLEIITIC [4329]",,10500 [4329],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4329] ,227640.845,5573.862,,93677.427,,,,71200.68,82762.26,53127.824,1316.5786,,2075.375,19436.6534,480.0631,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,5,198,23,88,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191788
[4329],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN,"GIANT CRATER, GROUP 4",41.4892,41.4892,-121.6548,-121.6548,SUBAERIAL,1701,1743,s 1257M [4329],"BASALT, THOLEIITIC [4329]",,10500 [4329],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4329] ,226705.975,5753.664,,93148.176,,,,71900.25,84191.66,53308.736,1316.5786,,1660.3,19362.4677,523.7052,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,3,204,23,88,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191789
[4329],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN,"GIANT CRATER, GROUP 4",41.4927,41.4927,-121.6602,-121.6602,SUBAERIAL,1701,1743,s 1259M [4329],"BASALT, THOLEIITIC [4329]",,10500 [4329],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4329] ,228108.28,5453.994,,92618.925,,,,71433.87,82261.97,54032.384,1316.5786,,1992.36,19362.4677,523.7052,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,3,207,24,89,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191790
[4329],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN,"GIANT CRATER, GROUP 4",41.4597,41.4597,-121.686,-121.686,SUBAERIAL,1701,1743,s 1277M [4329],"BASALT, THOLEIITIC [4329]",,10500 [4329],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4329] ,228575.715,5573.862,,94206.678,,,,70112.46,83119.61,50775.968,1239.1328,,2241.405,20030.139,523.7052,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,5,203,24,89,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191791
[4329],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN,"GIANT CRATER, GROUP 4",41.4092,41.4092,-121.661,-121.661,SUBAERIAL,1701,1743,s 1369M [4329],"BASALT, THOLEIITIC [4329]",,10500 [4329],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4329] ,228575.715,5573.862,,93677.427,,,,70112.46,81690.21,52524.784,1239.1328,,2407.435,19955.9533,480.0631,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,,,139,,,,,,,,2,199,23,94,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191792
